station_id,name,distance,rating,popularity,price,hours,hours_popular,category
204,Tuela Grill,12,,,,,,restaurants
204,Jambú Gastronomia,66,,,,,,restaurants
204,Bar do Pedrão,15,,,,,,restaurants
204,Bar e Lanches Recanto da Consolação,23,,,,,,restaurants
204,Coffee Corner,32,,,,,,restaurants
204,Pasta & Dolce,6,,,,,,restaurants
204,Tia Maria Gastronomia,16,,,,,,restaurants
204,Mini Club,20,,,,,,restaurants
204,DJ Trattoria,27,,,,,,restaurants
204,Tarado's Bar,41,,,,,,restaurants
204,Pasta & Dolce,6,,,,,,coffee shops
204,Cofeecorner,44,,,,,,coffee shops
204,Bravo Café,46,,,,,,coffee shops
204,Dona julia cafe,62,,,,,,coffee shops
204,Café Itallian,95,,,,,,coffee shops
204,Aj Sucos e Lanches,15,,,,,,bakeries
204,A J Consolação Paes e Doces,120,,,,,,bakeries
7,Abençoado Hot Dog,25,,,,,,restaurants
556,Aquelle Lugar Natural,73,,,,,,restaurants
556,Via Maria,58,,,,,,restaurants
556,Villa Felice Restaurante,50,,,,,,restaurants
556,Beco 74,35,,,,,,restaurants
556,Terraço Taiyoo,83,,,,,,restaurants
556,Savana Bar e Restaurante,43,,,,,,restaurants
556,Pracinha Gourmet,48,,,,,,restaurants
556,Espaço Hibisco,48,,,,,,restaurants
556,Art Kilo,36,,,,,,restaurants
556,Natural Restaurante,80,,,,,,restaurants
556,Mr Cheney Cookies (Mr. Cheney Cookies),94,,,,,,coffee shops
556,5°ZCoffee,17,,,,,,coffee shops
556,Coffe Assurance IT,41,,,,,,coffee shops
556,EVS - Espaço Vida Saudável,51,,,,,,coffee shops
556,EVS - Espaço Vida Saudável Herbalife,81,,,,,,coffee shops
556,EVS - Espaço Vida Saudável Herbalife,95,,,,,,coffee shops
556,Villa Pan Express,98,,,,,,bakeries
14,Mysth Sushi Gourmet,36,,,,,,restaurants
14,Casa do Pão de Queijo,12,,,,,,restaurants
14,Doce d'Oce Patisserie,32,,,,,,restaurants
14,L Artiste,35,,,,,,restaurants
14,Siá Mariana,39,,,,,,restaurants
14,Temakeria Makis Place,41,,,,,,restaurants
14,Encontro Paulistano,44,,,,,,restaurants
14,Chocolates Brasil Cacau,91,,,,,,restaurants
14,Restaurante Jj,44,,,,,,restaurants
14,Casa do Pão de Queijo-Conjunto Nacional,46,,,,,,restaurants
14,Um Coffee Co.,83,,,,,,coffee shops
573,Jaber Especialidades Árabes,63,,,,,,restaurants
573,Pistachio Bakery,77,,,,,,restaurants
573,Yaki Temakeria & Yakissoba,81,,,,,,restaurants
573,Restaurante Tapera,96,,,,,,restaurants
573,Posto do Açaí,79,,,,,,restaurants
573,Flor do Paraíso,23,,,,,,restaurants
573,Padoca - QG,5,,,,,,restaurants
573,Recanto Paraíso,30,,,,,,restaurants
573,Doceria Paraíso,41,,,,,,restaurants
573,Catedral Especialidades Árabes,81,,,,,,restaurants
573,EVS - Espaço Vida Saudável,90,,,,,,coffee shops
573,Pistachio Bakery,77,,,,,,bakeries
573,Padaria e Restaurante Moça Paulista,43,,,,,,bakeries
573,Flor do Paraíso,23,,,,,,bakeries
601,Lanches Bar Novo Paraíso,72,,,,,,restaurants
601,Panificadora Viana,72,,,,,,restaurants
601,Akira Sushi Restaurante Ltda ME,100,,,,,,restaurants
601,Chipper,14,,,,,,restaurants
601,El Bug Del Milenio,45,,,,,,restaurants
601,All Fries Burger,45,,,,,,restaurants
601,Brancao,48,,,,,,restaurants
601,Mr Cooler,82,,,,,,restaurants
601,"Reico Pizza, Lanches e Refeições",85,,,,,,restaurants
601,Bar,92,,,,,,restaurants
601,Ofner,68,,,,,,coffee shops
601,Splash Café,81,,,,,,coffee shops
601,EVS - Espaço Vida Saudável Herbalife,94,,,,,,coffee shops
601,Panificadora Viana,72,,,,,,bakeries
601,Panificadora Viana Ltda Epp,56,,,,,,bakeries
628,Norf,53,,,,,,restaurants
628,Hickmann Studio,60,,,,,,restaurants
628,Casa Nostra,63,,,,,,restaurants
446,Porao da Cerveja,80,,,,,,restaurants
446,Dja's Grill,13,,,,,,restaurants
446,Lanchonete Pureza,53,,,,,,restaurants
446,Pizzaria Philomena,23,,,,,,restaurants
446,Especialidade da Casa - Churrasco & Choop,33,,,,,,restaurants
446,Djalma's Club Entertainnent,36,,,,,,restaurants
446,Solarium - antiRestaurante,56,,,,,,restaurants
446,"Coelho do Lance lanches, bar e restaurante",70,,,,,,restaurants
446,Stillus Cafeteria,91,,,,,,coffee shops
446,Saporearte Bistrô,92,,,,,,coffee shops
114,Pastis Bistro,42,,,,,,restaurants
114,New Tranquilo,80,,,,,,restaurants
114,Empório Lci,89,,,,,,restaurants
114,Petit Blés d'or,24,,,,,,bakeries
36,Shigueru,14,,,,,,restaurants
36,Anusha Chocolates,72,,,,,,restaurants
36,Grano,64,,,,,,restaurants
36,Mania de Churrasco Prime Steak House,74,,,,,,restaurants
36,Les Terrasses,36,,,,,,restaurants
36,Jeronimo,58,,,,,,restaurants
36,Laos Asian Bistrô,92,,,,,,restaurants
36,Pobre Juan,40,,,,,,restaurants
36,Restaurante Madero Sao Paulo Ltda,71,,,,,,restaurants
36,Fogão de Minas-Urussui,75,,,,,,restaurants
36,Padaria da Esquina,54,,,,,,bakeries
231,Joaquina - Comidinhas e Eventos,66,,,,,,restaurants
231,Cabruca,58,,,,,,restaurants
231,Sal Pimenta e Capricho Refeicoes Caseiras,17,,,,,,restaurants
231,Remo e Romulo,18,,,,,,restaurants
231,Anluz Eletrometalúrgica Ltda,62,,,,,,restaurants
231,Nakombi II Bar e Lanches Ltda ME,63,,,,,,restaurants
231,Restaurante do Instituto,98,,,,,,restaurants
231,EVS - Espaço Vida Saudável Herbalife,30,,,,,,coffee shops
525,Contém Café,43,,,,,,restaurants
525,Jidai Sushi,61,,,,,,restaurants
525,Restaurante Ker,64,,,,,,restaurants
525,Recanto Parrilla,70,,,,,,restaurants
525,Recanto Bar e Lanches,73,,,,,,restaurants
525,Viveri,85,,,,,,restaurants
525,Vitrines,97,,,,,,restaurants
525,Dona Redonda,185,,,,,,restaurants
525,Contém Café,43,,,,,,coffee shops
525,Rei do Mate,90,,,,,,coffee shops
525,Casa do Pão de Queijo,36,,,,,,coffee shops
525,Recanto Bar e Lanches,73,,,,,,coffee shops
525,Paris Cafe Expresso,83,,,,,,coffee shops
102,Quintal Natural,50,,,,,,restaurants
102,Caffé Bette,76,,,,,,restaurants
102,Charme do Brooklin,77,,,,,,restaurants
102,Araúna Bar e Restaurante,91,,,,,,restaurants
102,Cheiro Verde Grill,24,,,,,,restaurants
102,Restaurante Panela de Minas,17,,,,,,restaurants
102,L&M Restaurante,33,,,,,,restaurants
102,Nova Era Rotissiere,25,,,,,,restaurants
102,Restaurante Santa Clara,40,,,,,,restaurants
102,Lanchonete Nova Berrini,84,,,,,,restaurants
102,Lanchonete Nova Berrini,84,,,,,,coffee shops
102,"EVS Espaço Vida Saudável Herbalife ""James Joule""",89,,,,,,coffee shops
102,União Fialense,31,,,,,,bakeries
102,Lanchonete Nova Berrini,84,,,,,,bakeries
32,Pleno Sabor Restaurante,39,,,,,,restaurants
474,Aya Japanese Cuisine,63,,,,,,restaurants
474,Boteco Capella,25,,,,,,restaurants
474,Cafofolia,37,,,,,,restaurants
474,Haori Sushi,57,,,,,,restaurants
474,Pedroso's Restaurante e Churrascaria,74,,,,,,restaurants
474,Quatro Irmãos - Restaurante e Pizzaria - Pinheiros,74,,,,,,restaurants
474,Naturiche Buffet & Catering,80,,,,,,restaurants
474,AJ M&M Pães e Doces,104,,,,,,bakeries
87,Méqui 1000,32,,,,,,restaurants
87,Hakka Sushi,85,,,,,,restaurants
87,Arabesco,94,,,,,,restaurants
87,Cantina da Dani,27,,,,,,restaurants
87,Café d'Itália,61,,,,,,restaurants
87,Peixe Urbano,72,,,,,,restaurants
87,Bar do Português,90,,,,,,restaurants
87,Bob's,82,,,,,,restaurants
87,Restaurante Frei Paulista Ltda Epp,57,,,,,,restaurants
87,Méqui 1000,32,,,,,,coffee shops
87,Casa Bauducco,68,,,,,,coffee shops
87,Cantina da Dani,27,,,,,,coffee shops
87,Kopi Luwak,32,,,,,,coffee shops
87,Asbac,50,,,,,,coffee shops
87,Bike Cafe Aromeiazero,79,,,,,,coffee shops
87,Cantina do Pedrão,47,,,,,,bakeries
248,Academicus Cafe,53,,,,,,restaurants
59,Artesanal Vecchio Cancian,8,,,,,,restaurants
59,Quincho Cozinha & Coquetelaria,67,,,,,,restaurants
59,Chez Mom,67,,,,,,restaurants
59,Marias e Clarices Beerpizza,80,,,,,,restaurants
59,Vaca Peixe Burguer Sushi Bar,32,,,,,,restaurants
59,Paladar da Vila,87,,,,,,restaurants
59,Umai Sushi,25,,,,,,restaurants
59,Bar Anhanguera,98,,,,,,restaurants
59,Trattoria Famiglia Manzoli,23,,,,,,restaurants
59,Patio SP,95,,,,,,restaurants
59,Chez Mom,67,,,,,,coffee shops
59,Coletivo PURA,10,,,,,,coffee shops
59,Eoka,59,,,,,,coffee shops
59,Café Moreno,70,,,,,,coffee shops
59,Iza Padaria Artesanal,84,,,,,,coffee shops
59,Cremoncello,99,,,,,,coffee shops
59,Iza Padaria Artesanal,84,,,,,,bakeries
297,Bawarchi,88,,,,,,restaurants
297,Dona Tapioca & Cia,91,,,,,,restaurants
297,Pistache Coml.,78,,,,,,restaurants
297,Dona Midori,76,,,,,,restaurants
297,Mani in Pasta,65,,,,,,restaurants
297,Patrimônio de Minas,38,,,,,,restaurants
297,Hourenso,44,,,,,,restaurants
297,Salvattore Sushi Bar,48,,,,,,restaurants
297,Mistura Gastronomia Peruana,55,,,,,,restaurants
297,Lanchonete Bom Jesus 5,73,,,,,,restaurants
297,Pistache Coml.,78,,,,,,coffee shops
297,"Casa do Urso - Chá, Bolo e Cia",97,,,,,,coffee shops
297,Café & Cultura,75,,,,,,coffee shops
297,Casa do Pão de Queijo,68,,,,,,coffee shops
297,La Greno,41,,,,,,coffee shops
297,Cafécafé,68,,,,,,coffee shops
297,Betina Café,82,,,,,,coffee shops
297,Nutty Bavarian,98,,,,,,coffee shops
297,Café da Vila,98,,,,,,coffee shops
297,das Brot - Padaria Alemã,37,,,,,,bakeries
297,Dorf Haus,25,,,,,,bakeries
405,Bar Restaurante e Pastelaria Metropolitano Ltda,63,,,,,,restaurants
405,Restaurante Bom Gosto,77,,,,,,restaurants
405,Subway,37,,,,,,restaurants
405,Patron Self Service,87,,,,,,restaurants
405,Restaurante Aroma e Sabor,66,,,,,,restaurants
405,Arrozeteria,16,,,,,,restaurants
405,Pizza Crek,21,,,,,,restaurants
405,Recanto Comida Caseira,32,,,,,,restaurants
405,Montana grill,39,,,,,,restaurants
405,Jin Jin,38,,,,,,restaurants
405,Rei do Mate,27,,,,,,coffee shops
405,Meu Cantinho - Cafeteria,10,,,,,,coffee shops
405,Açaí Sabor Brasileiro,50,,,,,,coffee shops
405,Cafe Brasil,62,,,,,,coffee shops
